time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01
0,1.9746355,-86.82255,5.965548,-0.21593468,0.035154667,-0.18829072
1,4.086421,-86.67137,4.317969,-0.35185462,-0.043672957,-0.73107105
2,6.796679,-86.49255,2.0893583,-0.61820245,-0.11487381,-1.2068965
3,8.930154,-86.36505,0.43343106,-0.8716132,-0.196686,-1.3172071
4,10.169925,-86.30862,-0.3115507,-0.98736775,-0.30588606,-1.1820629
5,10.801212,-86.30133,-0.48502693,-1.0023752,-0.41898096,-0.9891235
6,11.117493,-86.31598,-0.43744525,-0.9905455,-0.51406807,-0.8177332
7,11.275362,-86.33499,-0.34865198,-0.9874228,-0.5840306,-0.6840628
8,11.346761,-86.35113,-0.2792183,-0.99947155,-0.6313929,-0.5859042
9,11.36863,-86.36285,-0.2390071,-1.023637,-0.6620444,-0.51737016
10,11.362274,-86.37056,-0.22367297,-1.056281,-0.68141633,-0.4723335
11,11.3406315,-86.375015,-0.22752629,-1.0953002,-0.69342154,-0.44580257
12,11.31219,-86.376854,-0.24704228,-1.140409,-0.70068675,-0.43435407
13,11.281946,-86.37652,-0.28104886,-1.1935081,-0.7047027,-0.43576187
14,11.2508545,-86.374214,-0.33000764,-1.258951,-0.70568347,-0.4488945
15,11.215501,-86.369865,-0.39597234,-1.3441833,-0.70237887,-0.47414505
16,11.16624,-86.36283,-0.48359117,-1.4627482,-0.6915735,-0.51368374
17,11.080081,-86.35164,-0.6033193,-1.6431053,-0.66605914,-0.5735436
18,10.910343,-86.33379,-0.77528536,-1.9393619,-0.6118372,-0.6656564
19,10.593103,-86.30667,-1.0290848,-2.4206452,-0.5108765,-0.7985483
20,10.096538,-86.26964,-1.384216,-3.1105793,-0.3564752,-0.9534076
21,9.482541,-86.225464,-1.7896477,-3.8922176,-0.17654692,-1.0769114
22,8.836897,-86.18001,-2.1573634,-4.5713887,-0.017201928,-1.1411732
23,8.172516,-86.13747,-2.4692416,-5.0637536,0.10551102,-1.1705426
24,7.503006,-86.09816,-2.743054,-5.3884926,0.19789444,-1.1852217
25,6.8529963,-86.059784,-2.9985595,-5.5909624,0.26834354,-1.1916337
26,6.226638,-86.01926,-3.2491965,-5.7069845,0.32447883,-1.1949112
27,5.6187057,-85.975464,-3.4934993,-5.7561526,0.37362602,-1.2014564
28,5.025988,-85.929276,-3.7194276,-5.7461605,0.4207057,-1.2180047
29,4.4475393,-85.88146,-3.9228168,-5.683046,0.46585926,-1.249311
30,3.9047072,-85.833984,-4.1167808,-5.5816336,0.50371486,-1.2954977
31,3.4246063,-85.78929,-4.3184247,-5.4584093,0.5266748,-1.3497555
32,2.9863596,-85.746956,-4.5289025,-5.313283,0.5294575,-1.3965927
33,2.526793,-85.70497,-4.7281995,-5.131564,0.50867265,-1.4126332
34,1.989105,-85.6634,-4.8815103,-4.9031076,0.46375057,-1.371993
35,1.3807594,-85.62691,-4.9535155,-4.6465373,0.40142974,-1.2612232
36,0.7761686,-85.60188,-4.935079,-4.4075365,0.33189455,-1.0962745
37,0.23568545,-85.59039,-4.852119,-4.2220683,0.26048467,-0.91264814
38,-0.24717773,-85.59132,-4.7277045,-4.0908613,0.18857409,-0.72931045
